SERIALNUMBER METERNO IPADDRV6 SERVLOC LATITUDE LONGITUDE
2155288583 80771807 fda0::99:1c:6400:8077:1807 BMT-R-009 -22.90884 -43.285156
2155162205 80752A5D fda0::1bb:1c:6400:8075:2a5d BRX-R-001 -22.74704 -43.38609
2153856800 80613F20 fda0::17b:1c:6400:8061:3f20 IMT-R-019 -22.59965 -43.35147
2155166068 80753974 fda0::13e:1c:6400:8075:3974 SAT-R-013 -22.906392 -43.179543
2155168024 80754118 fda0::87:1c:6400:8075:4118 CMR-R-070 -22.902231 -43.17946
2153920314 8062373A fda0::193:1c:6400:8062:373a SLZ-R-091 -22.905882 -43.176212
2155171808 80754FE0 fda0::74:1c:6400:8075:4fe0 QMA-R-002 -22.718957 -43.567366
2155171849 80755009 fda0::193:1c:6400:8075:5009 SLZ-R-118 -22.919994 -43.176838
2155171829 80754FF5 fda0::193:1c:6400:8075:4ff5 SLZ-R-120 -22.920569 -43.1777
2155287131 8077125B fda0::25:1c:6400:8077:125b ITG-R-003 -22.870008 -43.771651
2155288746 807718AA fda0::25:1c:6400:8077:18aa ITG-R-005 -22.872646 -43.77872
2155287213 807712AD fda0::2e:1c:6400:8077:12ad GNB-R-006 -22.79114 -43.17795
2155287170 80771282 fda0::2e:1c:6400:8077:1282 GNB-R-007 -22.800833 -43.17991
2155287211 807712AB fda0::1b4:1c:6400:8077:12ab COP-R-045 -22.967602 -43.184566
2155287499 807713CB fda0::161:1c:6400:8077:13cb BMT-R-005 -22.910721 -43.281868
2155287673 80771479 fda0::172:1c:6400:8077:1479 LEM-R-011 -22.96102 -43.178716
2155287573 80771415 fda0::3f:1c:6400:8077:1415 PMG-R-004 -22.889153 -43.423201
2155287597 8077142D fda0::13e:1c:6400:8077:142d SLZ-R-041 -22.905053 -43.177255
2155287497 807713C9 fda0::52:1c:6400:8077:13c9 BPN-R-005 -22.82756 -43.282268
2155198443 8075B7EB fda0::116:1c:6400:8075:b7eb LBN-R-031 -22.984269 -43.22234
