hostname,visible_name,ip_address,DNS,Groups,type_full,name,alias,serialno_a,serialno_b,tag,asset_tag,location_lat,location_lon,Templates
8075399F,SERVER1,fda0::14:1c:6400:8075:399f,8075399F.lg.net,LIGHT|LIGHT/COLLECTORS,RF G5i Route,8075399F,FCN-R-001,8075399F,2155166111,LIGHT,NOC::TIER1,-22.915578,-43.196652,10921
8075396F,SERVER2,fda0::14:1c:6400:8075:396f,8075396F.lg.net,LIGHT|LIGHT/COLLECTORS,RF G5i Route,8075396F,FCN-R-002,8075396F,2155166063,LIGHT,NOC::TIER1,-22.918521,-43.195389,10921
